college_player_id,college_url,3PAr,ASTpct,Awards,BLKpct,BPM,Class,Conf,DBPM,DRBpct,DWS,FTr,G,GS,MP,OBPM,ORBpct,OWS,PER,PProd,Pos,STLpct,Season,TOVpct,TRBpct,TSpct,Team,USGpct,WS,WS_40
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,0.0,4.9,,2.9,,FR,Big East,,,1.7,0.574,33.0,1.0,543.0,,,1.5,,,F,,2005-06,13.1,15.8,0.624,UConn,16.9,3.1,0.23
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,0.003,,,,,SO,Big East,,,3.8,0.519,31.0,31.0,1027.0,,,1.2,,,F,,2006-07,16.3,,0.523,UConn,,5.0,0.195
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,0.012,,,,,JR,Big East,,,2.3,0.664,33.0,33.0,1115.0,,,1.7,,,F,,2007-08,16.4,,0.539,UConn,,4.0,0.143
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,0.003,9.2,,2.3,,SR,Big East,,,3.5,0.495,36.0,36.0,1245.0,,,1.7,,,F,,2008-09,12.3,15.2,0.529,UConn,20.7,5.2,0.166
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,0.005,7.9,,2.5,,Career,Career,,,11.2,0.56,133.0,101.0,3930.0,,,6.1,,,,,Career,14.7,15.4,0.542,Career,19.6,17.3,0.176
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,0.421,13.4,,0.5,,FR,Pac-10,,,0.7,0.371,29.0,29.0,907.0,,,1.4,,,G,,2004-05,18.0,6.2,0.556,UCLA,18.4,2.2,0.096
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,0.517,11.9,,0.3,,SO,Pac-10,,,1.7,0.364,39.0,38.0,1303.0,,,4.4,,,G,,2005-06,13.3,8.1,0.6,UCLA,24.5,6.1,0.187
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,0.509,,AA-1,,,JR,Pac-10,,,1.7,0.276,36.0,36.0,1186.0,,,3.9,,,G,,2006-07,11.0,,0.589,UCLA,,5.5,0.186
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,0.493,12.5,,0.4,,Career,Career,,,4.1,0.33,104.0,103.0,3396.0,,,9.7,,,,,Career,13.5,7.3,0.586,Career,22.0,13.8,0.162
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,0.487,8.2,,2.1,,FR,Big Ten,,,0.8,0.267,27.0,4.0,463.0,,,0.7,,,G,,2002-03,12.4,8.2,0.533,Michigan St.,22.0,1.4,0.125
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,0.471,6.1,,1.0,,SO,Big Ten,,,0.3,0.271,30.0,4.0,676.0,,,0.5,,,G,,2003-04,13.0,9.8,0.5,Michigan St.,23.6,0.8,0.05
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,0.419,13.5,,0.7,,JR,Big Ten,,,1.3,0.429,33.0,31.0,867.0,,,3.1,,,G,,2004-05,13.9,9.1,0.612,Michigan St.,25.5,4.4,0.204
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,0.446,15.9,,0.7,,SR,Big Ten,,,1.0,0.321,34.0,34.0,1170.0,,,3.5,,,G,,2005-06,13.2,7.3,0.575,Michigan St.,29.1,4.5,0.153
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,0.449,12.0,,0.9,,Career,Career,,,3.4,0.333,124.0,73.0,3176.0,,,7.8,,,,,Career,13.3,8.5,0.566,Career,25.9,11.2,0.141
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,0.0,0.0,,8.6,,FR,ACC,,,0.3,0.29,10.0,1.0,93.0,,,0.1,,,C,,2007-08,23.8,13.1,0.496,Florida St.,25.2,0.3,0.144
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,0.004,3.6,,7.5,,SO,ACC,,,2.1,0.332,35.0,35.0,779.0,,,1.5,,,C,,2008-09,17.6,14.4,0.564,Florida St.,20.6,3.6,0.186
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,0.0,4.4,,10.4,,JR,ACC,,15.7,2.1,0.546,32.0,32.0,820.0,,11.6,2.2,24.0,343.0,C,1.4,2009-10,16.3,13.8,0.596,Florida St.,22.8,4.3,0.21
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,0.002,3.8,,9.0,,Career,Career,,15.7,4.5,0.435,77.0,68.0,1692.0,,11.6,3.8,24.0,343.0,,1.4,Career,17.3,14.0,0.577,Career,21.9,8.3,0.195
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,0.0,,,,,FR,Big 12,,,1.8,0.458,40.0,0.0,330.0,,,0.5,,,C,,2007-08,17.2,,0.554,Kansas,,2.3,0.274
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,0.0,7.2,,7.1,,SO,Big 12,,,4.3,0.462,35.0,35.0,1037.0,,,4.0,,,C,,2008-09,12.1,21.1,0.64,Kansas,21.9,8.3,0.32
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,0.0,5.8,AA-2,13.0,,JR,Big 12,,25.4,2.9,0.6,36.0,36.0,963.0,,13.6,3.0,27.9,400.0,C,1.6,2009-10,14.1,20.0,0.596,Kansas,19.9,5.9,0.245
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,0.0,6.5,,9.9,,Career,Career,,25.4,9.0,0.515,111.0,71.0,2330.0,,13.6,7.4,27.9,400.0,,1.6,Career,13.6,20.5,0.612,Career,21.0,16.5,0.282
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,0.0,8.0,,4.5,,FR,Big 12,,,1.2,0.779,16.0,16.0,355.0,,,1.3,,,F,,2004-05,19.2,14.6,0.67,Texas,20.0,2.5,0.286
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,0.0,3.3,,4.1,,SO,Big 12,,,5.3,0.47,37.0,37.0,1247.0,,,3.4,,,F,,2005-06,11.1,15.5,0.589,Texas,21.1,8.7,0.278
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,0.0,4.3,,4.2,,Career,Career,,,6.5,0.527,53.0,53.0,1602.0,,,4.7,,,,,Career,12.9,15.3,0.605,Career,20.9,11.2,0.28
