college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,,,,,,,,,,FR,Big East,,,,,,,,,33.0,1.0,543.0,,,,,F,,2005-06,,,UConn,
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,,,,,,,,,,SO,Big East,,,,,,,,,31.0,31.0,1027.0,,,,,F,,2006-07,,,UConn,
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,,,,,,,,,,JR,Big East,,,,,,,,,33.0,33.0,1115.0,,,,,F,,2007-08,,,UConn,
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,,,,,,,,,,SR,Big East,,,,,,,,,36.0,36.0,1245.0,,,,,F,,2008-09,,,UConn,
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,,,,,,,,,,Career,Career,,,,,,,,,133.0,101.0,3930.0,,,,,,,Career,,,Career,
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,,,,,,,,,,FR,Pac-10,,,,,,,,,29.0,29.0,907.0,,,,,G,,2004-05,,,UCLA,
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,,,,,,,,,,SO,Pac-10,,,,,,,,,39.0,38.0,1303.0,,,,,G,,2005-06,,,UCLA,
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,,,,,,,,AA-1,,JR,Pac-10,,,,,,,,,36.0,36.0,1186.0,,,,,G,,2006-07,,,UCLA,
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,,,,,,,,,,Career,Career,,,,,,,,,104.0,103.0,3396.0,,,,,,,Career,,,Career,
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,,,,,,,,,,FR,Big Ten,,,,,,,,,27.0,4.0,463.0,,,,,G,,2002-03,,,Michigan St.,
