college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,83.0,136.0,0.61,0.0,0.0,,15.0,,25.0,FR,Big East,97.0,83.0,136.0,0.61,50.0,78.0,0.641,33.0,1.0,543.0,68.0,42.0,216.0,F,14.0,2005-06,26.0,165.0,UConn,0.61
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,156.0,311.0,0.502,0.0,1.0,0.0,29.0,,44.0,SO,Big East,184.0,156.0,312.0,0.5,95.0,162.0,0.586,31.0,31.0,1027.0,117.0,60.0,407.0,F,29.0,2006-07,76.0,301.0,UConn,0.5
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,171.0,341.0,0.501,2.0,4.0,0.5,42.0,,41.0,JR,Big East,216.0,173.0,345.0,0.501,141.0,229.0,0.616,33.0,33.0,1115.0,86.0,64.0,489.0,F,16.0,2007-08,89.0,302.0,UConn,0.504
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,190.0,375.0,0.507,0.0,1.0,0.0,60.0,,42.0,SR,Big East,243.0,190.0,376.0,0.505,111.0,186.0,0.597,36.0,36.0,1245.0,115.0,72.0,491.0,F,19.0,2008-09,65.0,358.0,UConn,0.505
jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,600.0,1163.0,0.516,2.0,6.0,0.333,146.0,,152.0,Career,Career,740.0,602.0,1169.0,0.515,397.0,655.0,0.606,133.0,101.0,3930.0,386.0,238.0,1603.0,,78.0,Career,256.0,1126.0,Career,0.516
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,67.0,139.0,0.482,39.0,101.0,0.386,63.0,,7.0,FR,Pac-10,80.0,106.0,240.0,0.442,63.0,89.0,0.708,29.0,29.0,907.0,17.0,67.0,314.0,G,18.0,2004-05,62.0,97.0,UCLA,0.523
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,120.0,212.0,0.566,83.0,227.0,0.366,69.0,,5.0,SO,Pac-10,132.0,203.0,439.0,0.462,129.0,160.0,0.806,39.0,38.0,1303.0,32.0,83.0,618.0,G,24.0,2005-06,79.0,164.0,UCLA,0.557
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,123.0,224.0,0.549,87.0,232.0,0.375,70.0,AA-1,8.0,JR,Pac-10,84.0,210.0,456.0,0.461,101.0,126.0,0.802,36.0,36.0,1186.0,15.0,66.0,608.0,G,22.0,2006-07,64.0,99.0,UCLA,0.556
arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,310.0,575.0,0.539,209.0,560.0,0.373,202.0,,20.0,Career,Career,296.0,519.0,1135.0,0.457,293.0,375.0,0.781,104.0,103.0,3396.0,64.0,216.0,1540.0,,64.0,Career,205.0,360.0,Career,0.549
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,31.0,77.0,0.403,29.0,73.0,0.397,17.0,,12.0,FR,Big Ten,50.0,60.0,150.0,0.4,31.0,40.0,0.775,27.0,4.0,463.0,11.0,47.0,180.0,G,5.0,2002-03,24.0,61.0,Michigan St.,0.497
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,50.0,119.0,0.42,37.0,106.0,0.349,20.0,,8.0,SO,Big Ten,69.0,87.0,225.0,0.387,43.0,61.0,0.705,30.0,4.0,676.0,27.0,59.0,254.0,G,12.0,2003-04,38.0,96.0,Michigan St.,0.469
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,97.0,183.0,0.53,53.0,132.0,0.402,60.0,,8.0,JR,Big Ten,91.0,150.0,315.0,0.476,111.0,135.0,0.822,33.0,31.0,867.0,37.0,53.0,464.0,G,22.0,2004-05,61.0,128.0,Michigan St.,0.56
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,143.0,274.0,0.522,83.0,221.0,0.376,84.0,,11.0,SR,Big Ten,115.0,226.0,495.0,0.457,121.0,159.0,0.761,34.0,34.0,1170.0,24.0,81.0,656.0,G,23.0,2005-06,87.0,139.0,Michigan St.,0.54
maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,321.0,653.0,0.492,202.0,532.0,0.38,181.0,,39.0,Career,Career,325.0,523.0,1185.0,0.441,306.0,395.0,0.775,124.0,73.0,3176.0,99.0,240.0,1554.0,,62.0,Career,210.0,424.0,Career,0.527
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,15.0,31.0,0.484,0.0,0.0,,0.0,,11.0,FR,ACC,12.0,15.0,31.0,0.484,5.0,9.0,0.556,10.0,1.0,93.0,8.0,18.0,35.0,C,1.0,2007-08,11.0,20.0,Florida St.,0.484
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,122.0,225.0,0.542,0.0,1.0,0.0,12.0,,73.0,SO,ACC,122.0,122.0,226.0,0.54,51.0,75.0,0.68,35.0,35.0,779.0,75.0,65.0,295.0,C,18.0,2008-09,56.0,197.0,Florida St.,0.54
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,133.0,249.0,0.534,0.0,0.0,,16.0,,75.0,JR,ACC,119.0,133.0,249.0,0.534,108.0,136.0,0.794,32.0,32.0,820.0,79.0,75.0,374.0,C,20.0,2009-10,61.0,198.0,Florida St.,0.534
solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,270.0,505.0,0.535,0.0,1.0,0.0,28.0,,159.0,Career,Career,253.0,270.0,506.0,0.534,164.0,220.0,0.745,77.0,68.0,1692.0,162.0,158.0,704.0,,39.0,Career,128.0,415.0,Career,0.534
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,43.0,83.0,0.518,0.0,0.0,,5.0,,34.0,FR,Big 12,85.0,43.0,83.0,0.518,26.0,38.0,0.684,40.0,0.0,330.0,34.0,48.0,112.0,C,11.0,2007-08,21.0,119.0,Kansas,0.518
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,199.0,333.0,0.598,0.0,0.0,,36.0,,94.0,SO,Big 12,281.0,199.0,333.0,0.598,122.0,154.0,0.792,35.0,35.0,1037.0,106.0,90.0,520.0,C,21.0,2008-09,56.0,387.0,Kansas,0.598
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,149.0,265.0,0.562,0.0,0.0,,31.0,AA-2,125.0,JR,Big 12,244.0,149.0,265.0,0.562,108.0,159.0,0.679,36.0,36.0,963.0,110.0,92.0,406.0,C,27.0,2009-10,56.0,354.0,Kansas,0.562
cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,391.0,681.0,0.574,0.0,0.0,,72.0,,253.0,Career,Career,610.0,391.0,681.0,0.574,256.0,351.0,0.729,111.0,71.0,2330.0,250.0,230.0,1038.0,,59.0,Career,133.0,860.0,Career,0.574
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,57.0,86.0,0.663,0.0,0.0,,14.0,,24.0,FR,Big 12,52.0,57.0,86.0,0.663,44.0,67.0,0.657,16.0,16.0,355.0,43.0,49.0,158.0,F,17.0,2004-05,28.0,95.0,Texas,0.663
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,219.0,385.0,0.569,0.0,0.0,,20.0,,73.0,SO,Big 12,204.0,219.0,385.0,0.569,117.0,181.0,0.646,37.0,37.0,1247.0,135.0,92.0,555.0,F,50.0,2005-06,59.0,339.0,Texas,0.569
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,276.0,471.0,0.586,0.0,0.0,,34.0,,97.0,Career,Career,256.0,276.0,471.0,0.586,161.0,248.0,0.649,53.0,53.0,1602.0,178.0,141.0,713.0,,67.0,Career,87.0,434.0,Career,0.586
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,24.0,51.0,0.471,0.0,0.0,,13.0,,18.0,FR,Big East,,24.0,51.0,0.471,19.0,45.0,0.422,33.0,0.0,357.0,,48.0,67.0,C,5.0,1996-97,21.0,96.0,Villanova,0.471
