nba_player_id,Added_FG_Add,Added_TS_Add,League-Adjusted_2P+,League-Adjusted_3P+,League-Adjusted_3PAr+,League-Adjusted_FG+,League-Adjusted_FT+,League-Adjusted_FTr+,League-Adjusted_TS+,League-Adjusted_eFG+,Shooting_pct_2Ppct,Shooting_pct_3PAr,Shooting_pct_3Ppct,Shooting_pct_FGpct,Shooting_pct_FTpct,Shooting_pct_FTr,Shooting_pct_TSpct,Shooting_pct_eFGpct
adrieje01,-7.8,-10.5,87.0,,0.0,93.0,76.0,117.0,84.0,85.0,0.426,0.0,,0.426,0.579,0.352,0.457,0.426
adrieje01,-1.6,-1.4,92.0,,0.0,98.0,78.0,272.0,94.0,90.0,0.438,0.0,,0.438,0.583,0.75,0.493,0.438
adrieje01,-22.8,-17.7,90.0,0.0,5.0,95.0,86.0,220.0,92.0,86.0,0.434,0.012,0.0,0.429,0.65,0.595,0.493,0.429
adrieje01,10.4,7.8,107.0,,0.0,114.0,84.0,152.0,102.0,104.0,0.52,0.0,,0.52,0.639,0.433,0.553,0.52
adrieje01,3.9,1.8,113.0,,0.0,121.0,69.0,220.0,103.0,110.0,0.55,0.0,,0.55,0.52,0.625,0.559,0.55
adrieje01,6.5,6.0,106.0,,0.0,113.0,89.0,141.0,102.0,103.0,0.515,0.0,,0.515,0.67,0.4,0.552,0.515
adrieje01,-5.6,-4.9,89.0,,0.0,96.0,77.0,316.0,92.0,87.0,0.432,0.0,,0.432,0.579,0.864,0.494,0.432
adrieje01,-27.4,-26.7,98.0,0.0,1.0,105.0,83.0,186.0,96.0,95.0,0.476,0.004,0.0,0.474,0.628,0.517,0.518,0.474
adrieje01,,,,,,,,,,,,,,,,,,
adrieje01,-18.9,-15.9,94.0,0.0,4.0,100.0,83.0,220.0,94.0,91.0,0.456,0.01,0.0,0.452,0.624,0.601,0.506,0.452
adrieje01,6.5,6.0,106.0,,0.0,113.0,89.0,141.0,102.0,103.0,0.515,0.0,,0.515,0.67,0.4,0.552,0.515
adrieje01,-7.8,-10.5,87.0,,0.0,93.0,76.0,117.0,84.0,85.0,0.426,0.0,,0.426,0.579,0.352,0.457,0.426
adrieje01,-5.6,-4.9,89.0,,0.0,96.0,77.0,316.0,92.0,87.0,0.432,0.0,,0.432,0.579,0.864,0.494,0.432
adrieje01,-1.6,-1.4,92.0,,0.0,98.0,78.0,272.0,94.0,90.0,0.438,0.0,,0.438,0.583,0.75,0.493,0.438
afflaar01,-31.8,-25.8,95.0,58.0,90.0,90.0,103.0,118.0,91.0,87.0,0.461,0.199,0.208,0.411,0.782,0.361,0.494,0.432
afflaar01,5.1,2.4,94.0,110.0,159.0,95.0,106.0,77.0,101.0,102.0,0.456,0.357,0.402,0.437,0.817,0.237,0.548,0.508
afflaar01,66.1,41.9,99.0,122.0,192.0,101.0,97.0,56.0,106.0,111.0,0.488,0.426,0.434,0.465,0.735,0.168,0.576,0.557
afflaar01,104.1,110.4,112.0,118.0,178.0,109.0,111.0,87.0,115.0,117.0,0.546,0.396,0.423,0.498,0.847,0.26,0.62,0.581
afflaar01,64.8,91.5,106.0,114.0,140.0,105.0,106.0,128.0,111.0,110.0,0.504,0.316,0.398,0.471,0.798,0.353,0.584,0.534
afflaar01,-32.5,-15.6,101.0,84.0,109.0,97.0,114.0,91.0,99.0,96.0,0.489,0.265,0.3,0.439,0.857,0.246,0.527,0.478
afflaar01,42.8,76.4,97.0,119.0,114.0,101.0,108.0,117.0,106.0,104.0,0.473,0.297,0.427,0.459,0.815,0.332,0.574,0.522
