nba_player_id,3PAr,ASTpct,Age,Awards,BLKpct,BPM,DBPM,DRBpct,DWS,FTr,G,GS,Lg,MP,OBPM,ORBpct,OWS,PER,Pos,STLpct,Season,TOVpct,TRBpct,TSpct,Team,USGpct,VORP,WS,WS_48
adrieje01,0.0,7.3,24.0,,1.9,-5.3,-2.0,20.7,0.1,0.352,23.0,0.0,NBA,196.0,-3.3,13.0,0.1,11.3,PF,1.0,2010-11,12.6,16.8,0.457,GSW,16.1,-0.2,0.2,0.051
adrieje01,0.0,2.4,25.0,,2.4,-4.3,-0.2,31.6,0.1,0.75,8.0,0.0,NBA,63.0,-4.0,9.1,0.1,11.2,PF,0.0,2011-12,8.6,20.3,0.493,HOU,16.8,0.0,0.1,0.106
adrieje01,0.012,8.3,26.0,,3.1,-3.0,-0.9,21.2,0.4,0.595,52.0,5.0,NBA,713.0,-2.1,10.6,0.5,13.4,PF,1.3,2012-13,13.1,15.7,0.493,CHA,15.6,-0.2,1.0,0.064
adrieje01,0.0,6.8,27.0,,3.0,-0.9,-0.9,24.8,1.1,0.433,53.0,12.0,NBA,961.0,0.0,11.8,1.6,17.4,PF,1.3,2013-14,10.6,18.2,0.553,2TM,17.3,0.3,2.7,0.134
adrieje01,0.0,4.1,27.0,,4.6,0.0,1.7,24.4,0.5,0.625,25.0,0.0,NBA,256.0,-1.8,14.5,0.4,14.9,PF,1.4,2013-14,13.6,19.4,0.559,CHA,10.6,0.1,0.9,0.17
adrieje01,0.0,7.7,27.0,,2.4,-1.2,-1.8,25.0,0.6,0.4,28.0,12.0,NBA,705.0,0.6,10.9,1.2,18.4,PF,1.3,2013-14,10.1,17.7,0.552,MIL,19.7,0.1,1.8,0.121
adrieje01,0.0,10.5,28.0,,3.3,-2.4,-0.6,29.6,0.2,0.864,17.0,0.0,NBA,215.0,-1.9,11.9,0.2,14.2,PF,0.9,2014-15,12.9,20.5,0.494,MIN,14.3,0.0,0.4,0.087
adrieje01,0.004,7.5,,,2.9,-2.2,-0.9,23.9,1.9,0.517,153.0,17.0,5 Yrs,2148.0,-1.3,11.5,2.5,15.0,,1.2,5 Yrs,11.7,17.5,0.518,5 Yrs,16.3,-0.1,4.4,0.098
adrieje01,0.004,7.5,,,2.9,-2.2,-0.9,23.9,1.0,0.517,82.0,9.0,82 Game Avg,1151.0,-1.3,11.5,1.3,15.0,,1.2,82 Game Avg,11.7,17.5,0.518,82 Game Avg,16.3,-0.1,2.3,0.098
adrieje01,0.01,7.2,,,3.5,-2.2,-0.2,22.0,0.9,0.601,77.0,5.0,CHA (2 Yrs),969.0,-2.0,11.6,0.9,13.8,,1.4,CHA (2 Yrs),13.2,16.7,0.506,CHA (2 Yrs),14.3,-0.1,1.9,0.092
