nba_player_id,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Age,Awards,BLK,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
adrieje01,5.9,13.9,0.426,0.0,0.0,,2.6,24.0,,1.3,9.0,110.0,5.9,13.9,0.426,2.8,4.9,0.579,23.0,0.0,NBA,196.0,5.9,102.0,7.2,14.7,PF,1.0,2010-11,2.3,15.0,GSW,0.426
adrieje01,5.8,13.3,0.438,0.0,0.0,,0.8,25.0,,1.7,14.1,103.0,5.8,13.3,0.438,5.8,10.0,0.583,8.0,0.0,NBA,63.0,4.2,106.0,10.8,17.5,PF,0.0,2011-12,1.7,18.3,HOU,0.438
adrieje01,5.3,12.2,0.434,0.0,0.1,0.0,2.7,26.0,,2.0,9.4,109.0,5.3,12.4,0.429,4.8,7.4,0.65,52.0,5.0,NBA,713.0,5.0,105.0,5.9,15.4,PF,1.3,2012-13,2.4,14.4,CHA,0.429
adrieje01,7.8,14.9,0.52,0.0,0.0,,2.1,27.0,,2.0,11.1,106.0,7.8,14.9,0.52,4.1,6.5,0.639,53.0,12.0,NBA,961.0,5.5,114.0,5.9,19.7,PF,1.3,2013-14,2.1,16.6,2TM,0.52
adrieje01,4.5,8.1,0.55,0.0,0.0,,1.4,27.0,,3.0,11.2,99.0,4.5,8.1,0.55,2.6,5.1,0.52,25.0,0.0,NBA,256.0,6.7,119.0,7.1,11.6,PF,1.4,2013-14,1.6,17.8,CHA,0.55
adrieje01,9.0,17.4,0.515,0.0,0.0,,2.3,27.0,,1.6,11.1,109.0,9.0,17.4,0.515,4.7,7.0,0.67,28.0,12.0,NBA,705.0,5.1,113.0,5.4,22.6,PF,1.3,2013-14,2.3,16.2,MIL,0.515
adrieje01,4.5,10.4,0.432,0.0,0.0,,3.5,28.0,,2.1,12.8,108.0,4.5,10.4,0.432,5.2,9.0,0.579,17.0,0.0,NBA,215.0,5.4,109.0,7.1,14.2,PF,0.9,2014-15,2.1,18.2,MIN,0.432
adrieje01,6.4,13.4,0.476,0.0,0.0,0.0,2.4,,,1.9,10.6,108.0,6.4,13.5,0.474,4.4,7.0,0.628,153.0,17.0,5 Yrs,2148.0,5.4,109.0,6.3,17.2,,1.2,5 Yrs,2.2,16.0,5 Yrs,0.474
adrieje01,5.1,11.1,0.456,0.0,0.1,0.0,2.3,,,2.3,9.9,107.0,5.1,11.2,0.452,4.2,6.8,0.624,77.0,5.0,CHA (2 Yrs),969.0,5.5,108.0,6.2,14.4,,1.4,CHA (2 Yrs),2.2,15.3,CHA (2 Yrs),0.452
adrieje01,9.0,17.4,0.515,0.0,0.0,,2.3,,,1.6,11.1,109.0,9.0,17.4,0.515,4.7,7.0,0.67,28.0,12.0,MIL (1 Yr),705.0,5.1,113.0,5.4,22.6,,1.3,MIL (1 Yr),2.3,16.2,MIL (1 Yr),0.515
adrieje01,5.9,13.9,0.426,0.0,0.0,,2.6,,,1.3,9.0,110.0,5.9,13.9,0.426,2.8,4.9,0.579,23.0,0.0,GSW (1 Yr),196.0,5.9,102.0,7.2,14.7,,1.0,GSW (1 Yr),2.3,15.0,GSW (1 Yr),0.426
