nba_player_id,1_2_Court_Att.,1_2_Court_Md.,Corner_3s_3Ppct,Corner_3s_pct3PA,Dunks_#,Dunks_pctFGA,FGpct_by_Distance_0-3,FGpct_by_Distance_10-16,FGpct_by_Distance_16-3P,FGpct_by_Distance_2P,FGpct_by_Distance_3-10,FGpct_by_Distance_3P,pct_of_FGA_by_Distance_0-3,pct_of_FGA_by_Distance_10-16,pct_of_FGA_by_Distance_16-3P,pct_of_FGA_by_Distance_2P,pct_of_FGA_by_Distance_3-10,pct_of_FGA_by_Distance_3P,pct_of_FG_Ast'd_2P,pct_of_FG_Ast'd_3P
adrieje01,0.0,0.0,,,5.0,0.093,0.581,0.0,1.0,0.426,0.235,,0.574,0.093,0.019,1.0,0.315,0.0,,
adrieje01,0.0,0.0,,,1.0,0.125,0.6,1.0,0.25,0.438,0.2,,0.313,0.125,0.25,1.0,0.313,0.0,,
adrieje01,1.0,0.0,,,8.0,0.065,0.508,0.417,0.348,0.434,0.429,0.0,0.363,0.143,0.274,0.988,0.208,0.012,,
adrieje01,0.0,0.0,,,27.0,0.109,0.617,0.333,0.394,0.52,0.426,,0.56,0.098,0.12,1.0,0.222,0.0,,
adrieje01,0.0,0.0,,,3.0,0.075,0.576,0.25,,0.55,0.667,,0.825,0.1,0.0,1.0,0.075,0.0,,
adrieje01,0.0,0.0,,,24.0,0.115,0.628,0.348,0.394,0.515,0.414,,0.515,0.098,0.14,1.0,0.247,0.0,,
adrieje01,0.0,0.0,,,2.0,0.068,0.522,0.4,0.4,0.432,0.273,,0.523,0.114,0.114,1.0,0.25,0.0,,
adrieje01,1.0,0.0,,,43.0,0.092,0.58,0.365,0.371,0.476,0.38,0.0,0.492,0.113,0.16,0.996,0.232,0.004,,
adrieje01,1.0,0.0,,,23.0,0.092,0.58,0.365,0.371,0.476,0.38,0.0,0.492,0.113,0.16,0.996,0.232,0.004,,
adrieje01,,,,,,,,,,,,,,,,,,,,
adrieje01,1.0,0.0,,,11.0,0.067,0.532,0.393,0.348,0.456,0.447,0.0,0.452,0.135,0.221,0.99,0.183,0.01,,
adrieje01,0.0,0.0,,,24.0,0.115,0.628,0.348,0.394,0.515,0.414,,0.515,0.098,0.14,1.0,0.247,0.0,,
adrieje01,0.0,0.0,,,5.0,0.093,0.581,0.0,1.0,0.426,0.235,,0.574,0.093,0.019,1.0,0.315,0.0,,
adrieje01,0.0,0.0,,,2.0,0.068,0.522,0.4,0.4,0.432,0.273,,0.523,0.114,0.114,1.0,0.25,0.0,,
adrieje01,0.0,0.0,,,1.0,0.125,0.6,1.0,0.25,0.438,0.2,,0.313,0.125,0.25,1.0,0.313,0.0,,
afflaar01,1.0,0.0,0.091,0.458,2.0,0.008,0.525,0.419,0.435,0.461,0.308,0.208,0.332,0.129,0.286,0.801,0.054,0.199,0.652,0.8
afflaar01,0.0,0.0,0.429,0.654,1.0,0.003,0.625,0.333,0.355,0.456,0.429,0.402,0.24,0.07,0.31,0.643,0.023,0.357,0.534,0.93
afflaar01,0.0,0.0,0.436,0.562,6.0,0.012,0.55,0.391,0.481,0.488,0.364,0.434,0.258,0.079,0.181,0.574,0.056,0.426,0.543,0.972
afflaar01,1.0,0.0,0.451,0.581,1.0,0.002,0.662,0.5,0.412,0.546,0.518,0.423,0.241,0.077,0.155,0.604,0.132,0.396,0.565,1.0
afflaar01,0.0,0.0,0.45,0.493,6.0,0.009,0.684,0.373,0.447,0.504,0.323,0.398,0.272,0.107,0.163,0.684,0.142,0.316,0.689,0.966
afflaar01,0.0,0.0,0.438,0.304,4.0,0.006,0.646,0.497,0.404,0.489,0.414,0.3,0.175,0.202,0.23,0.735,0.128,0.265,0.486,0.958
afflaar01,2.0,0.0,0.489,0.3,2.0,0.002,0.591,0.509,0.42,0.473,0.366,0.427,0.157,0.161,0.304,0.703,0.081,0.297,0.53,0.883
afflaar01,0.0,0.0,0.341,0.387,0.0,0.0,0.573,0.486,0.447,0.466,0.375,0.354,0.124,0.161,0.202,0.623,0.136,0.377,0.549,0.958
afflaar01,0.0,0.0,0.355,0.383,0.0,0.0,0.571,0.5,0.5,0.481,0.361,0.337,0.117,0.17,0.195,0.63,0.148,0.37,0.543,0.976
afflaar01,0.0,0.0,0.306,0.4,0.0,0.0,0.576,0.433,0.314,0.423,0.435,0.4,0.145,0.132,0.225,0.604,0.101,0.396,0.569,0.917
afflaar01,0.0,0.0,0.446,0.424,2.0,0.003,0.609,0.455,0.416,0.469,0.458,0.382,0.115,0.193,0.217,0.702,0.178,0.298,0.49,0.912
afflaar01,1.0,0.0,0.517,0.384,1.0,0.002,0.571,0.449,0.424,0.457,0.449,0.411,0.1,0.186,0.236,0.64,0.117,0.36,0.504,0.968
afflaar01,0.0,0.0,0.276,0.414,0.0,0.0,0.733,0.36,0.281,0.413,0.45,0.386,0.093,0.154,0.198,0.568,0.123,0.432,0.632,0.926
afflaar01,5.0,0.0,0.425,0.438,25.0,0.004,0.615,0.463,0.42,0.481,0.41,0.386,0.184,0.146,0.223,0.668,0.115,0.332,0.549,0.946
afflaar01,1.0,0.0,0.425,0.438,3.0,0.004,0.615,0.463,0.42,0.481,0.41,0.386,0.184,0.146,0.223,0.668,0.115,0.332,0.549,0.946
afflaar01,,,,,,,,,,,,,,,,,,,,
afflaar01,1.0,0.0,0.428,0.506,13.0,0.005,0.627,0.448,0.463,0.505,0.391,0.399,0.222,0.109,0.173,0.626,0.121,0.374,0.592,0.979
afflaar01,2.0,0.0,0.438,0.315,6.0,0.003,0.623,0.493,0.406,0.476,0.399,0.372,0.16,0.179,0.263,0.706,0.105,0.294,0.515,0.912
afflaar01,1.0,0.0,0.348,0.594,3.0,0.006,0.572,0.385,0.389,0.459,0.35,0.342,0.281,0.096,0.299,0.713,0.037,0.287,0.593,0.906
afflaar01,0.0,0.0,0.446,0.424,2.0,0.003,0.609,0.455,0.416,0.469,0.458,0.382,0.115,0.193,0.217,0.702,0.178,0.298,0.49,0.912
afflaar01,1.0,0.0,0.517,0.384,1.0,0.002,0.571,0.449,0.424,0.457,0.449,0.411,0.1,0.186,0.236,0.64,0.117,0.36,0.504,0.968
afflaar01,0.0,0.0,0.306,0.4,0.0,0.0,0.576,0.433,0.314,0.423,0.435,0.4,0.145,0.132,0.225,0.604,0.101,0.396,0.569,0.917
agerma01,0.0,0.0,0.0,0.2,2.0,0.057,0.28,0.0,0.409,0.309,0.333,0.333,0.357,0.071,0.314,0.786,0.043,0.214,0.235,0.4
agerma01,0.0,0.0,0.25,0.211,5.0,0.077,0.455,0.0,0.412,0.391,0.25,0.158,0.338,0.046,0.262,0.708,0.062,0.292,0.722,1.0
agerma01,0.0,0.0,,0.0,2.0,0.074,0.375,0.0,0.167,0.263,0.5,0.0,0.296,0.111,0.222,0.704,0.074,0.296,0.8,
agerma01,0.0,0.0,0.25,0.364,3.0,0.079,0.5,,0.545,0.481,0.0,0.273,0.368,0.0,0.289,0.711,0.053,0.289,0.692,1.0
agerma01,0.0,0.0,,0.0,1.0,0.047,0.632,0.0,0.2,0.405,0.0,0.0,0.442,0.047,0.349,0.86,0.023,0.14,0.467,
agerma01,,,,,,,,,,,,,,,,,,,,
agerma01,1.0,1.0,,0.0,0.0,0.0,1.0,,0.5,0.429,0.0,0.75,0.182,0.0,0.182,0.636,0.273,0.364,0.0,0.333
agerma01,1.0,1.0,0.143,0.159,8.0,0.058,0.456,0.0,0.357,0.366,0.182,0.25,0.36,0.053,0.296,0.767,0.058,0.233,0.453,0.545
agerma01,1.0,1.0,0.143,0.159,8.0,0.058,0.456,0.0,0.357,0.366,0.182,0.25,0.36,0.053,0.296,0.767,0.058,0.233,0.453,0.545
agerma01,,,,,,,,,,,,,,,,,,,,
agerma01,0.0,0.0,0.0,0.13,4.0,0.062,0.303,0.0,0.357,0.297,0.4,0.217,0.34,0.082,0.289,0.763,0.052,0.237,0.364,0.4
agerma01,0.0,0.0,0.25,0.235,4.0,0.062,0.576,0.0,0.346,0.438,0.0,0.176,0.407,0.025,0.321,0.79,0.037,0.21,0.571,1.0
agerma01,1.0,1.0,,0.0,0.0,0.0,1.0,,0.5,0.429,0.0,0.75,0.182,0.0,0.182,0.636,0.273,0.364,0.0,0.333
ajincal01,0.0,0.0,,0.0,3.0,0.058,0.417,0.273,0.394,0.373,0.364,0.0,0.174,0.159,0.478,0.971,0.159,0.029,0.72,
ajincal01,0.0,0.0,,,1.0,0.1,1.0,0.0,0.333,0.5,0.0,,0.4,0.1,0.3,1.0,0.2,0.0,0.8,
ajincal01,0.0,0.0,1.0,0.059,9.0,0.09,0.677,0.222,0.38,0.475,0.556,0.353,0.233,0.068,0.376,0.744,0.068,0.256,0.66,1.0
ajincal01,0.0,0.0,1.0,0.286,0.0,0.031,0.5,0.286,0.3,0.36,0.5,0.429,0.125,0.219,0.313,0.781,0.125,0.219,0.556,1.0
ajincal01,0.0,0.0,,0.0,9.0,0.109,0.704,0.0,0.4,0.514,0.6,0.333,0.267,0.02,0.396,0.733,0.05,0.267,0.684,1.0
ajincal01,,,,,,,,,,,,,,,,,,,,
ajincal01,,,,,,,,,,,,,,,,,,,,
ajincal01,0.0,0.0,,0.0,46.0,0.213,0.642,0.467,0.531,0.548,0.388,0.0,0.494,0.181,0.129,0.996,0.197,0.004,0.706,
ajincal01,0.0,0.0,,,28.0,0.088,0.603,0.508,0.429,0.55,0.563,,0.353,0.198,0.106,1.0,0.34,0.0,0.613,
ajincal01,0.0,0.0,,0.0,27.0,0.098,0.674,0.324,0.468,0.478,0.346,0.0,0.283,0.108,0.346,0.997,0.257,0.003,0.767,
ajincal01,0.0,0.0,,0.0,20.0,0.129,0.71,0.579,0.354,0.511,0.378,0.0,0.348,0.107,0.27,0.978,0.253,0.022,0.82,
ajincal01,0.0,0.0,1.0,0.048,134.0,0.119,0.648,0.44,0.429,0.51,0.44,0.286,0.341,0.143,0.242,0.967,0.241,0.033,0.708,1.0
ajincal01,0.0,0.0,1.0,0.048,38.0,0.119,0.648,0.44,0.429,0.51,0.44,0.286,0.341,0.143,0.242,0.967,0.241,0.033,0.708,1.0
ajincal01,,,,,,,,,,,,,,,,,,,,
ajincal01,0.0,0.0,,0.0,121.0,0.127,0.649,0.466,0.446,0.522,0.443,0.0,0.364,0.152,0.209,0.994,0.268,0.006,0.71,
ajincal01,0.0,0.0,,0.0,4.0,0.063,0.563,0.25,0.389,0.39,0.308,0.0,0.203,0.152,0.456,0.975,0.165,0.025,0.733,
ajincal01,0.0,0.0,,0.0,9.0,0.109,0.704,0.0,0.4,0.514,0.6,0.333,0.267,0.02,0.396,0.733,0.05,0.267,0.684,1.0
