nba_player_id,nba_player_url,college_player_id,college_url,birthday,height_inches,weight_lb,recruiting_year,recruiting_rank,scrape_status,error
adrieje01,https://www.basketball-reference.com/players/a/adrieje01.html,jeff-adrien-1,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,1986-02-10,79.0,245.0,2005.0,53.0,ok,
afflaar01,https://www.basketball-reference.com/players/a/afflaar01.html,arron-afflalo-1,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,1985-10-15,77.0,210.0,2004.0,26.0,ok,
agerma01,https://www.basketball-reference.com/players/a/agerma01.html,maurice-ager-1,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,1984-02-09,77.0,202.0,2002.0,54.0,ok,
ajincal01,https://www.basketball-reference.com/players/a/ajincal01.html,,,1988-05-06,86.0,248.0,,,ok,
alabiso01,https://www.basketball-reference.com/players/a/alabiso01.html,solomon-alabi-1,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,1988-03-21,85.0,251.0,2007.0,24.0,ok,
aldrico01,https://www.basketball-reference.com/players/a/aldrico01.html,cole-aldrich-1,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,1988-10-31,83.0,253.0,2007.0,22.0,ok,
aldrila01,https://www.basketball-reference.com/players/a/aldrila01.html,lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,1985-07-19,83.0,250.0,2004.0,12.0,ok,
allenma01,https://www.basketball-reference.com/players/a/allenma01.html,malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,1978-06-27,82.0,255.0,,,ok,
allenra02,https://www.basketball-reference.com/players/a/allenra02.html,ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,1975-07-20,77.0,205.0,,,ok,
allento01,https://www.basketball-reference.com/players/a/allento01.html,tony-allen-1,https://www.sports-reference.com/cbb/players/tony-allen-1.html,1982-01-11,76.0,213.0,,,ok,
aminual01,https://www.basketball-reference.com/players/a/aminual01.html,al-farouq-aminu-1,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,1990-09-21,81.0,220.0,2008.0,7.0,ok,
amundlo01,https://www.basketball-reference.com/players/a/amundlo01.html,louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,1982-12-07,81.0,220.0,,,ok,
anderch01,https://www.basketball-reference.com/players/a/anderch01.html,,,1978-07-07,82.0,245.0,,,ok,
anderda03,https://www.basketball-reference.com/players/a/anderda03.html,,,1980-06-23,83.0,245.0,,,ok,
anderja01,https://www.basketball-reference.com/players/a/anderja01.html,james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,1989-03-25,78.0,213.0,2007.0,28.0,ok,
anderry01,https://www.basketball-reference.com/players/a/anderry01.html,ryan-anderson-1,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,1988-05-06,81.0,240.0,,,ok,
anthoca01,https://www.basketball-reference.com/players/a/anthoca01.html,carmelo-anthony-1,https://www.sports-reference.com/cbb/players/carmelo-anthony-1.html,1984-05-29,79.0,238.0,2002.0,2.0,ok,
anthojo01,https://www.basketball-reference.com/players/a/anthojo01.html,joel-anthony-1,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,1982-08-09,81.0,245.0,,,ok,
