nba_player_id,nba_player_url,scrape_status,error,birthday,recruiting_year,recruiting_rank,college_url,college_player_id,height_inches,weight_lb
adrieje01,https://www.basketball-reference.com/players/a/adrieje01.html,ok,,1986-02-10,2005.0,53.0,https://www.sports-reference.com/cbb/players/jeff-adrien-1.html,jeff-adrien-1,79.0,245.0
afflaar01,https://www.basketball-reference.com/players/a/afflaar01.html,ok,,1985-10-15,2004.0,26.0,https://www.sports-reference.com/cbb/players/arron-afflalo-1.html,arron-afflalo-1,77.0,210.0
agerma01,https://www.basketball-reference.com/players/a/agerma01.html,ok,,1984-02-09,2002.0,54.0,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,maurice-ager-1,77.0,202.0
ajincal01,https://www.basketball-reference.com/players/a/ajincal01.html,ok,,1988-05-06,,,,,86.0,248.0
alabiso01,https://www.basketball-reference.com/players/a/alabiso01.html,ok,,1988-03-21,2007.0,24.0,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,solomon-alabi-1,85.0,251.0
aldrico01,https://www.basketball-reference.com/players/a/aldrico01.html,ok,,1988-10-31,2007.0,22.0,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,cole-aldrich-1,83.0,253.0
aldrila01,https://www.basketball-reference.com/players/a/aldrila01.html,ok,,1985-07-19,2004.0,12.0,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,lamarcus-aldridge-1,83.0,250.0
allenma01,https://www.basketball-reference.com/players/a/allenma01.html,ok,,1978-06-27,,,https://www.sports-reference.com/cbb/players/malik-allen-1.html,malik-allen-1,82.0,255.0
allenra02,https://www.basketball-reference.com/players/a/allenra02.html,ok,,1975-07-20,,,https://www.sports-reference.com/cbb/players/ray-allen-1.html,ray-allen-1,77.0,205.0
allento01,https://www.basketball-reference.com/players/a/allento01.html,ok,,1982-01-11,,,https://www.sports-reference.com/cbb/players/tony-allen-1.html,tony-allen-1,76.0,213.0
aminual01,https://www.basketball-reference.com/players/a/aminual01.html,ok,,1990-09-21,2008.0,7.0,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,al-farouq-aminu-1,81.0,220.0
amundlo01,https://www.basketball-reference.com/players/a/amundlo01.html,ok,,1982-12-07,,,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,louis-amundson-1,81.0,220.0
anderch01,https://www.basketball-reference.com/players/a/anderch01.html,ok,,1978-07-07,,,,,82.0,245.0
anderda03,https://www.basketball-reference.com/players/a/anderda03.html,ok,,1980-06-23,,,,,83.0,245.0
anderja01,https://www.basketball-reference.com/players/a/anderja01.html,ok,,1989-03-25,2007.0,28.0,https://www.sports-reference.com/cbb/players/james-anderson-3.html,james-anderson-3,78.0,213.0
anderry01,https://www.basketball-reference.com/players/a/anderry01.html,ok,,1988-05-06,,,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,ryan-anderson-1,81.0,240.0
anthoca01,https://www.basketball-reference.com/players/a/anthoca01.html,ok,,1984-05-29,2002.0,2.0,https://www.sports-reference.com/cbb/players/carmelo-anthony-1.html,carmelo-anthony-1,79.0,238.0
anthojo01,https://www.basketball-reference.com/players/a/anthojo01.html,ok,,1982-08-09,,,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,joel-anthony-1,81.0,245.0
arenagi01,https://www.basketball-reference.com/players/a/arenagi01.html,ok,,1982-01-06,1999.0,99.0,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,gilbert-arenas-1,76.0,191.0
arizatr01,https://www.basketball-reference.com/players/a/arizatr01.html,ok,,1985-06-30,2003.0,19.0,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,trevor-ariza-1,80.0,215.0
armsthi01,https://www.basketball-reference.com/players/a/armsthi01.html,ok,,1984-11-11,,,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,hilton-armstrong-1,83.0,235.0
arroyca01,https://www.basketball-reference.com/players/a/arroyca01.html,ok,,1979-07-30,,,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,carlos-arroyo-1,74.0,202.0
artesro01,https://www.basketball-reference.com/players/a/artesro01.html,ok,,1979-11-13,,,https://www.sports-reference.com/cbb/players/ron-artest-1.html,ron-artest-1,79.0,260.0
arthuda01,https://www.basketball-reference.com/players/a/arthuda01.html,ok,,1988-03-25,2006.0,11.0,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,darrell-arthur-1,81.0,235.0
asikom01,https://www.basketball-reference.com/players/a/asikom01.html,ok,,1986-07-04,,,,,84.0,255.0
augusdj01,https://www.basketball-reference.com/players/a/augusdj01.html,ok,,1987-11-10,2006.0,29.0,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,dj-augustin-1,71.0,183.0
babbilu01,https://www.basketball-reference.com/players/b/babbilu01.html,ok,,1989-06-20,2008.0,19.0,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,luke-babbitt-1,81.0,225.0
balkmre01,https://www.basketball-reference.com/players/b/balkmre01.html,ok,,1984-07-14,2003.0,80.0,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,renaldo-balkman-1,80.0,208.0
banksma01,https://www.basketball-reference.com/players/b/banksma01.html,ok,,1981-11-19,,,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,marcus-banks-1,74.0,200.0
barbole01,https://www.basketball-reference.com/players/b/barbole01.html,ok,,1982-11-28,,,,,75.0,194.0
