split,pc,r_success
train,PC1,0.14159735178564573
train,PC2,0.10510369199005799
train,PC3,0.038244660568709475
train,PC4,-0.002834248344244569
train,PC5,0.20846884620901734
train,PC6,-0.07462552334571304
train,PC7,-0.02673049478665334
train,PC8,-0.0890956563055952
train,PC9,0.11763667104423692
train,PC10,-0.06153102521876368
train,PC11,0.0032839021796791782
train,PC12,-0.15027782301353151
train,PC13,-0.14861875736407512
test,PC1,0.02177025701363097
test,PC2,0.06502186811353206
test,PC3,0.23550987005829813
test,PC4,0.16711536067140978
test,PC5,0.19029694905616523
test,PC6,-0.0652120407198753
test,PC7,0.18664099747074894
test,PC8,-0.026727193145113338
test,PC9,-0.07758760551230424
test,PC10,-0.1391387613656578
test,PC11,0.006369491553551522
test,PC12,-0.03389377727634557
test,PC13,-0.1217291692256893
